
==== T = 450 K (history 8, damping 0.40, max_iter 250) ====
  it        free_energy        d_free          rms          max_res     q(Me4N+)   q(Cl)  restarts status conv
   1   -22.257561183597  -2.225756e+01   1.131340e-01   1.000000e+00   0.40000 -0.40000      0       0 0
   2   -22.265448688083  -7.887504e-03   7.382162e-02   5.999968e-01   1.00880 -1.00880      0       0 0
   3   -21.267396787784   9.980519e-01   1.643003e-01   2.008817e+00   1.03234 -1.03234      0       0 0
   4   -21.260153373848   7.243414e-03   1.663036e-01   2.034150e+00   0.44955 -0.44955      0       0 0
   5   -22.252839570671  -9.926862e-01   4.732341e-02   5.504458e-01   0.51795 -0.51795      0       0 0
   6   -22.256358527381  -3.518957e-03   4.023655e-02   4.820456e-01   0.61580 -0.61580      0       0 0
   7   -22.259748024311  -3.389497e-03   3.197748e-02   3.841852e-01   0.75893 -0.75893      0       0 0
   8   -22.263356561310  -3.608537e-03   1.980015e-02   2.410383e-01   0.82518 -0.82518      0       0 0
   9   -22.269664399826  -6.307839e-03   8.910697e-03   1.080602e-01   0.82407 -0.82407      0       0 0
  10   -22.271508307385  -1.843908e-03   5.229780e-03   6.375348e-02   0.83213 -0.83213      0       0 0
  11   -22.217147067128   5.436124e-02   3.855435e-02   4.696173e-01   0.78737 -0.78737      0       0 0
  12   -22.263995521283  -4.684845e-02   1.734259e-02   2.113393e-01   0.80544 -0.80544      0       0 0
  13   -22.265749941694  -1.754420e-03   1.452146e-02   1.769832e-01   0.84504 -0.84504      0       0 0
  14   -21.609385699640   6.563642e-01   1.266200e-01   1.542589e+00   0.70515 -0.70515      0       0 0
  15   -22.262235409165  -6.528497e-01   2.420391e-02   2.948374e-01   0.75512 -0.75512      0       0 0
  16   -22.263295603367  -1.060194e-03   2.008772e-02   2.448614e-01   0.78610 -0.78610      0       0 0
  17   -22.263956629939  -6.610266e-04   1.745978e-02   2.128219e-01   0.80455 -0.80455      0       0 0
  18   -22.265560987454  -1.604358e-03   1.476501e-02   1.799514e-01   0.81783 -0.81783      0       0 0
  19   -22.270989978002  -5.428991e-03   6.598580e-03   8.042095e-02   0.82134 -0.82134      0       0 0
  20   -22.272432415564  -1.442438e-03   1.151422e-03   1.403604e-02   0.81890 -0.81890      0       0 0
  21   -22.271548856897   8.835587e-04   5.201991e-03   6.337569e-02   0.82443 -0.82443      0       0 0
  22   -22.271213945180   3.349117e-04   5.980176e-03   7.285526e-02   0.81358 -0.81358      0       0 0
  23   -22.268650653939   2.563291e-03   1.070134e-02   1.303728e-01   0.83071 -0.83071      0       0 0
  24   -22.237882087634   3.076857e-02   3.064969e-02   3.733960e-01   0.78625 -0.78625      0       0 0
  25   -22.263959512838  -2.607743e-02   1.745226e-02   2.126558e-01   0.81306 -0.81306      0       0 0
  26   -22.268389559495  -4.430047e-03   1.107668e-02   1.349305e-01   0.82513 -0.82513      0       0 0
  27   -22.270214596017  -1.825037e-03   7.984761e-03   9.728916e-02   0.81666 -0.81666      0       0 0
  28   -22.270325064044  -1.104680e-04   7.962885e-03   9.700249e-02   0.82435 -0.82435      0       0 0
  29   -22.271300112569  -9.750485e-04   5.773772e-03   7.034312e-02   0.81842 -0.81842      0       0 0
  30   -22.271305475896  -5.363327e-06   5.850730e-03   7.127543e-02   0.82399 -0.82399      0       0 0
  31   -22.271659266252  -3.537904e-04   4.819065e-03   5.871003e-02   0.81914 -0.81914      0       0 0
  32   -22.271669023927  -9.757675e-06   4.851482e-03   5.910310e-02   0.82377 -0.82377      0       0 0
  33   -22.271849031851  -1.800079e-04   4.226958e-03   5.149583e-02   0.81967 -0.81967      0       0 0
  34   -22.271911504457  -6.247261e-05   4.054968e-03   4.939992e-02   0.82183 -0.82183      0       0 0
  35   -22.272477180920  -5.656765e-04   2.000770e-04   2.437183e-03   0.82194 -0.82194      0       0 0
  36   -22.272478557825  -1.376905e-06   2.321174e-05   2.825644e-04   0.82191 -0.82191      0       0 0
  37   -22.272478558405  -5.799414e-10   2.285120e-05   2.782044e-04   0.82193 -0.82193      0       0 0
  38   -22.272478576465  -1.805929e-08   1.996132e-06   2.412822e-05   0.82192 -0.82192      0       0 0
  39   -22.272478576591  -1.264162e-10   5.580165e-07   6.831459e-06   0.82193 -0.82193      0       0 1
