
==== T = 300 K (history 8, damping 0.40, max_iter 250) ====
  it        free_energy        d_free          rms          max_res     q(Me4N+)   q(Cl)  restarts status conv
  60   -21.288832444365   9.749494e-01   1.536162e-01   1.872199e+00  -0.16031  0.16031      0       0 0
  61   -22.211665148654  -9.228327e-01   9.533599e-02   1.160286e+00   0.52195 -0.52195      0       0 0
  62   -22.256905404662  -4.524026e-02   3.906674e-02   4.780602e-01   0.77928 -0.77928      0       0 0
  63   -22.263722264796  -6.816860e-03   1.812313e-02   2.207135e-01   0.86295 -0.86295      0       0 0
  64   -21.290351519015   9.733707e-01   1.528406e-01   1.862767e+00  -0.15908  0.15908      0       0 0
  65   -22.211844690584  -9.214932e-01   9.521287e-02   1.159060e+00   0.50697 -0.50697      0       0 0
  66   -22.256325891479  -4.448120e-02   4.030976e-02   4.930441e-01   0.77561 -0.77561      0       0 0
  67   -22.263654633905  -7.328742e-03   1.843313e-02   2.243786e-01   0.85806 -0.85806      0       0 0
  68   -21.292433465862   9.712212e-01   1.523382e-01   1.856694e+00  -0.15400  0.15400      0       0 0
  69   -22.212377082204  -9.199436e-01   9.477677e-02   1.153981e+00   0.50049 -0.50049      0       0 0
  70   -22.256063245269  -4.368616e-02   4.085248e-02   4.995191e-01   0.77600 -0.77600      0       0 0
  71   -22.263657390066  -7.594145e-03   1.840937e-02   2.239872e-01   0.85838 -0.85838      0       0 0
  72   -21.292239409115   9.714180e-01   1.523699e-01   1.857176e+00  -0.15570  0.15570      0       0 0
  73   -22.212237726628  -9.199983e-01   9.490826e-02   1.155676e+00   0.49519 -0.49519      0       0 0
  74   -22.255849691034  -4.361196e-02   4.129332e-02   5.048241e-01   0.77995 -0.77995      0       0 0
  75   -22.263722869677  -7.873179e-03   1.809110e-02   2.200366e-01   0.86238 -0.86238      0       0 0
  76   -21.290585661631   9.731372e-01   1.527689e-01   1.862143e+00  -0.15936  0.15936      0       0 0
  77   -22.211902854721  -9.213172e-01   9.520458e-02   1.159344e+00   0.49083 -0.49083      0       0 0
  78   -22.255675763166  -4.377291e-02   4.165225e-02   5.091775e-01   0.78487 -0.78487      0       0 0
  79   -22.263805248225  -8.129485e-03   1.769038e-02   2.151098e-01   0.86833 -0.86833      0       0 0
  80   -21.289542205926   9.742630e-01   1.532646e-01   1.868291e+00  -0.16569  0.16569      0       0 0
  81   -22.211304713803  -9.217625e-01   9.572272e-02   1.165673e+00   0.48789 -0.48789      0       0 0
  82   -22.255559328401  -4.425461e-02   4.189325e-02   5.121239e-01   0.78960 -0.78960      0       0 0
  83   -22.263885438690  -8.326110e-03   1.730111e-02   2.103486e-01   0.87472 -0.87472      0       0 0
  84   -21.288644066539   9.752414e-01   1.537830e-01   1.874701e+00  -0.17288  0.17288      0       0 0
  85   -22.210617977847  -9.219739e-01   9.631256e-02   1.172861e+00   0.48601 -0.48601      0       0 0
  86   -22.255486702977  -4.486873e-02   4.204513e-02   5.140013e-01   0.79376 -0.79376      0       0 0
  87   -22.263958428592  -8.471726e-03   1.695530e-02   2.061342e-01   0.88096 -0.88096      0       0 0
  88   -21.287779181821   9.761792e-01   1.542883e-01   1.880939e+00  -0.18039  0.18039      0       0 0
  89   -22.209894135333  -9.221150e-01   9.692957e-02   1.180371e+00   0.48483 -0.48483      0       0 0
  90   -22.255442940460  -4.554881e-02   4.213869e-02   5.151780e-01   0.79736 -0.79736      0       0 0
  91   -22.264027092364  -8.584152e-03   1.664979e-02   2.024210e-01   0.88668 -0.88668      0       0 0
  92   -21.286981539816   9.770456e-01   1.547527e-01   1.886663e+00  -0.18748  0.18748      0       0 0
  93   -22.209207169853  -9.222256e-01   9.751166e-02   1.187457e+00   0.48423 -0.48423      0       0 0
  94   -22.255422663082  -4.621549e-02   4.218469e-02   5.157794e-01   0.80053 -0.80053      0       0 0
  95   -22.264097164462  -8.674501e-03   1.637099e-02   1.990375e-01   0.89177 -0.89177      0       0 0
  96   -21.286269326393   9.778278e-01   1.551658e-01   1.891749e+00  -0.19381  0.19381      0       0 0
  97   -22.208591552381  -9.223222e-01   9.803085e-02   1.193783e+00   0.48402 -0.48402      0       0 0
  98   -22.255418225099  -4.682667e-02   4.219848e-02   5.159895e-01   0.80335 -0.80335      0       0 0
  99   -22.264174445488  -8.756220e-03   1.610893e-02   1.958592e-01   0.89612 -0.89612      0       0 0
 100   -21.285657329204   9.785171e-01   1.555194e-01   1.896101e+00  -0.19913  0.19913      0       0 0
 101   -22.208072896267  -9.224156e-01   9.846705e-02   1.199105e+00   0.48403 -0.48403      0       0 0
 102   -22.255422434528  -4.734954e-02   4.219452e-02   5.159820e-01   0.80582 -0.80582      0       0 0
 103   -22.264263103215  -8.840669e-03   1.585992e-02   1.928390e-01   0.89969 -0.89969      0       0 0
 104   -21.285153085811   9.791100e-01   1.558100e-01   1.899673e+00  -0.20338  0.20338      0       0 0
 105   -22.207660139703  -9.225071e-01   9.881401e-02   1.203350e+00   0.48413 -0.48413      0       0 0
 106   -22.255430112505  -4.776997e-02   4.218319e-02   5.158818e-01   0.80790 -0.80790      0       0 0
 107   -22.264363120727  -8.933008e-03   1.562637e-02   1.900057e-01   0.90248 -0.90248      0       0 0
 108   -21.284758393103   9.796047e-01   1.560368e-01   1.902460e+00  -0.20654  0.20654      0       0 0
 109   -22.207355114317  -9.225967e-01   9.907115e-02   1.206508e+00   0.48425 -0.48425      0       0 0
 110   -22.255438040427  -4.808293e-02   4.217089e-02   5.157657e-01   0.80955 -0.80955      0       0 0
 111   -22.264468020701  -9.029980e-03   1.541634e-02   1.874567e-01   0.90454 -0.90454      0       0 0
 112   -21.284466393442   9.800016e-01   1.562044e-01   1.904517e+00  -0.20868  0.20868      0       0 0
 113   -22.207150925591  -9.226845e-01   9.924475e-02   1.208655e+00   0.48433 -0.48433      0       0 0
 114   -22.255443898349  -4.829297e-02   4.216228e-02   5.156894e-01   0.81079 -0.81079      0       0 0
 115   -22.264567126107  -9.123228e-03   1.523907e-02   1.853043e-01   0.90597 -0.90597      0       0 0
 116   -21.284262310821   9.803048e-01   1.563214e-01   1.905954e+00  -0.20998  0.20998      0       0 0
 117   -22.207032158334  -9.227698e-01   9.934782e-02   1.209949e+00   0.48432 -0.48432      0       0 0
 118   -22.255445866776  -4.841371e-02   4.216103e-02   5.156976e-01   0.81168 -0.81168      0       0 0
 119   -22.264652604821  -9.206738e-03   1.509744e-02   1.835825e-01   0.90692 -0.90692      0       0 0
