
==== T = 400 K (history 8, damping 0.40, max_iter 250) ====
  it        free_energy        d_free          rms          max_res     q(Me4N+)   q(Cl)  restarts status conv
   1   -22.257561183597  -2.225756e+01   1.131340e-01   1.000000e+00   0.40000 -0.40000      0       0 0
   2   -22.265448688083  -7.887504e-03   7.382162e-02   5.999968e-01   1.00880 -1.00880      0       0 0
   3   -21.266794082228   9.986546e-01   1.643029e-01   2.008815e+00   1.03234 -1.03234      0       0 0
   4   -21.261028357539   5.765725e-03   1.662223e-01   2.032954e+00   0.41419 -0.41419      0       0 0
   5   -22.250986854390  -9.899585e-01   4.994811e-02   5.857992e-01   0.50818 -0.50818      0       0 0
   6   -22.256045100335  -5.058246e-03   4.086486e-02   4.918086e-01   0.61103 -0.61103      0       0 0
   7   -22.259606581201  -3.561481e-03   3.231437e-02   3.889606e-01   0.75756 -0.75756      0       0 0
   8   -22.263326899371  -3.720318e-03   1.993155e-02   2.424202e-01   0.82904 -0.82904      0       0 0
   9   -22.261853023049   1.473876e-03   1.696444e-02   2.064238e-01   0.81178 -0.81178      0       0 0
  10   -22.266449105906  -4.596083e-03   1.335013e-02   1.625099e-01   0.85565 -0.85565      0       0 0
  11   -21.307595076587   9.588540e-01   1.512097e-01   1.842233e+00   0.70370 -0.70370      0       0 0
  12   -22.262200313872  -9.546052e-01   2.430996e-02   2.962945e-01   0.72950 -0.72950      0       0 0
  13   -22.262782601717  -5.822878e-04   2.218535e-02   2.704901e-01   0.75545 -0.75545      0       0 0
  14   -22.263299942661  -5.173409e-04   2.006524e-02   2.445446e-01   0.79767 -0.79767      0       0 0
  15   -22.264280864521  -9.809219e-04   1.639860e-02   1.997477e-01   0.84349 -0.84349      0       0 0
  16   -21.691504559354   5.727763e-01   1.189179e-01   1.448765e+00   0.62745 -0.62745      0       0 0
  17   -22.260198646491  -5.686941e-01   3.060008e-02   3.725421e-01   0.68615 -0.68615      0       0 0
  18   -22.261795766949  -1.597120e-03   2.575885e-02   3.138391e-01   0.76971 -0.76971      0       0 0
  19   -22.263562016787  -1.766250e-03   1.890352e-02   2.302565e-01   0.85567 -0.85567      0       0 0
  20   -21.307990491725   9.555715e-01   1.511749e-01   1.841944e+00   0.19014 -0.19014      0       0 0
  21   -22.239270442990  -9.312800e-01   6.670356e-02   8.098134e-01   0.49832 -0.49832      0       0 0
  22   -22.255947337139  -1.667689e-02   4.105685e-02   5.016773e-01   0.63769 -0.63769      0       0 0
  23   -22.260592579493  -4.645242e-03   2.964725e-02   3.623148e-01   0.76018 -0.76018      0       0 0
  24   -22.263401060591  -2.808481e-03   1.965366e-02   2.398136e-01   0.87956 -0.87956      0       0 0
  25   -21.288879412109   9.745216e-01   1.542369e-01   1.879517e+00  -0.14871  0.14871      0       0 0
  26   -22.211694378776  -9.228150e-01   9.474367e-02   1.148610e+00   0.52442 -0.52442      0       0 0
  27   -22.257130863846  -4.543649e-02   3.875999e-02   4.756022e-01   0.68081 -0.68081      0       0 0
  28   -22.261742828377  -4.611965e-03   2.608772e-02   3.192038e-01   0.86335 -0.86335      0       0 0
  29   -21.292676039794   9.690668e-01   1.528038e-01   1.862048e+00  -0.29290  0.29290      0       0 0
  30   -22.197245907929  -9.045699e-01   1.065634e-01   1.292784e+00   0.42318 -0.42318      0       0 0
  31   -22.253047413464  -5.580151e-02   4.703927e-02   5.768562e-01   0.69182 -0.69182      0       0 0
  32   -22.261991806839  -8.944393e-03   2.520724e-02   3.081942e-01   0.82502 -0.82502      0       0 0
  33   -22.272156633205  -1.016483e-02   1.694204e-03   2.103854e-02   0.79535 -0.79535      0       0 0
  34   -22.264172123992   7.984509e-03   1.664653e-02   2.028786e-01   0.90148 -0.90148      0       0 0
